"Country","Year","Nights_spent"
"Greece",2016,22107192
"Greece",2017,21974593
"Greece",2018,24064088
"Greece",2019,23623077
"Sweden",2016,43236883
"Sweden",2017,44044499
"Sweden",2018,45171193
"Sweden",2019,47195047
