"Country","Year","Arrivals"
"Greece",2016,16915996
"Greece",2017,19068697
"Greece",2018,24320893
"Greece",2019,25038498
"Sweden",2016,6550337
"Sweden",2017,6840963
"Sweden",2018,7217241
"Sweden",2019,7407227
